15047,12614600,1168825527,0
9055,12614600,1543364607,1
53623,12614644,29266244,0
8816,12614644,29266374,1
15055,12614650,29784565,0
59054,12614650,243856097,1
15695,12614653,29784655,1
9172,12614653,29784666,0
21599,12614681,29266370,1
15065,12614681,508080930,0
32370,20246112,29275987,0
11730,20246112,1543365717,0
9427,20246121,29271692,0
36120,20246257,25662705,1
25917,20246257,25662916,1
60132,20246258,25663401,1
58791,20246258,1543393985,1
31826,20833605,21487208,1
13506,21306260,162491752,1
55398,21306260,637672657,1
41481,21306261,27555101,1
4310,21306261,571241516,1
52773,21306262,1543390447,1
52776,21306262,1543390449,1
50572,21306264,697056500,1
4309,21306264,1543362328,1
50569,21306265,697061115,1
4307,21306265,1543362327,1
26187,21306267,157467505,1
4304,21306267,1543362323,1
11713,21306276,179866189,1
24576,21385795,1543373382,0
48622,21385795,1543388152,1
50168,21385795,1543389017,1
54466,21385796,26753581,1
15739,21385796,1543368026,1
25575,21385798,1543373814,1
150,21385800,98983781,0
25571,21385800,267736028,1
52876,21385802,29122381,1
22578,21385802,454210411,1
40009,21385802,1543383017,0
22612,21385808,506900909,1
22614,21385809,1543372149,1
8108,21385810,1543364246,1
22586,21385810,1543372145,1
22615,21385810,1543372150,1
63402,21385811,1354046751,1
53629,21385812,21385814,0
63408,21385812,1543396605,1
53630,21385814,28794353,0
9641,21385814,1543364830,1
36100,21385815,1543380448,0
22589,21385816,601623023,1
9642,21385816,1315354874,1
22588,21385817,21385816,1
22597,21385817,1543372146,1
15728,21432798,29123438,0
8752,21432798,29266096,0
15734,21432799,29221586,0
55418,21432799,961807409,0
60461,21432801,735967920,0
36810,21432801,735967921,0
36809,21432802,52150746,0
49968,21432802,262463908,0
9070,21432804,29270506,1
63198,21432805,21487205,0
9072,21432806,29270505,1
60583,21432810,26753107,0
36426,21432810,1543380740,0
15712,21432815,29123432,0
28,21432815,1543358397,0
1751,21441736,26752863,1
53615,21441737,26752062,1
31374,21441737,1543377279,1
55288,21441738,1543392083,1
55291,21441738,1543392086,0
53669,21487161,51974037,0
62547,21487161,303436603,1
48884,21487162,26748900,1
21113,21487162,262478055,0
7571,21487162,1543363981,1
52480,21487180,450169257,1
36074,21487180,965126148,0
36122,21487181,1543380464,1
38052,21487181,1543381918,1
57150,21487183,160493853,0
38338,21487184,526812433,0
55903,21487185,1543392449,1
57248,21487185,1543393273,1
29056,21487186,29221567,1
8761,21487186,29221570,1
15135,21487205,1543367681,0
46880,21487205,1543387154,1
59762,21487209,29219440,1
58249,21487209,31154427,0
64839,21487209,341340981,1
38070,21487210,29221504,0
8744,21487210,1157325174,0
15732,21487220,1543368023,0
13788,21487224,196725581,0
29049,21487224,295705020,0
60426,21487229,1193560217,0
9112,21487229,1543364623,1
8626,21487230,196724115,1
58474,21487230,1543393836,1
56983,21487231,283190652,1
56979,21487231,1211114755,1
50564,21487232,292682414,1
8632,21487232,292682421,1
57295,21487234,29790229,0
25913,21487242,968049036,1
8418,21487242,1543364407,0
56966,21487271,270440119,1
56962,21487271,1543393080,0
3671,21487272,26952503,0
2054,21487272,1543360370,0
8587,21487284,541475983,1
14678,21487284,1543367503,0
56729,21487285,540636326,1
14675,21487285,1543367501,0
8451,21582728,961878738,0
64176,21582728,1419121876,1
50552,21669023,26747880,1
50554,21669023,26747947,1
43166,21669024,1228099082,1
33330,21677158,29270895,1
293,21677158,677136851,1
54456,21677246,677136870,1
296,21677247,21677246,1
48360,21677247,677136847,1
297,21677248,21677249,1
48363,21677248,29271247,1
298,21677249,253216697,1
55866,21677254,21487229,0
1742,25661287,988652034,1
1748,25661289,1543360075,1
55637,25661289,1543392278,0
7603,25661323,29063088,1
64440,25661323,1543397067,1
7611,25661366,1543364010,1
60761,25661366,1543395121,1
54673,25661372,545118231,0
60762,25661372,1543395122,1
7137,25661386,1543363763,1
54603,25661386,1543391408,1
38053,25661397,25662542,1
38054,25661397,25662689,0
2362,25661409,1543360715,1
36125,25661409,1543380467,1
62352,25661963,262480689,1
54602,25661963,1543391406,1
7138,25661966,25661967,1
7134,25661966,1543363762,1
7144,25661967,25662931,1
7139,25661967,960119788,1
7141,25661969,960119782,1
61515,25661976,271747430,1
60418,25661976,545118672,0
7129,25661984,1543363759,1
7609,25661991,25661984,1
7610,25661991,1543364009,1
7606,25661997,603622798,1
7146,25662041,1543363766,1
7143,25662047,1543363764,1
62354,25662047,1543395998,1
1747,25662542,25661289,1
7136,25662542,25661386,1
7130,25662542,1206481808,1
36076,25662552,1543380440,0
2360,25662562,25664692,1
